name,mean,mean.stdr,median,q1,q2,IQR,n_total,n,n_na
R_age_Tdate_iga,49.867548679729,1.54516739851694,49.7383561643836,40.8623287671233,60.4204019761958,19.5580732090725,64,64,0
R_age_Tdate_iga_0,50.420642160393,1.63859137840665,49.8931506849315,41.5390410958904,61.4519088255109,19.9128677296205,58,58,0
R_age_Tdate_iga_1,44.5209783666442,4.32343686290101,46.6028707238566,37.8884216632981,50.6527397260274,12.7643180627293,6,6,0
R_age_Tdate_ntx,52.3059577734736,0.44799775611977,54.0520547945205,43.3752414102852,63.6246575342466,20.2494161239614,960,960,0
R_age_Tdls_iga,57.5512690414702,1.45355685829116,59.072602739726,48.1603694138783,66.2571356388951,18.0967662250168,64,64,0
R_age_Tdls_iga_0,57.947172640942,1.54498332269889,59.1438356164384,48.3568493150685,66.9006849315068,18.5438356164384,58,58,0
R_age_Tdls_iga_1,53.724200913242,4.20561829031255,54.8931506849315,48.1438356164384,60.9130136986301,12.7691780821918,6,6,0
R_age_Tdls_ntx,57.7277720572785,0.437867836485338,59.0109589041096,48.4996332060783,68.1232876712329,19.6236544651546,960,622,338
cold_iga,535.703125,55.650712710996,570,150,840,690,64,64,0
cold_iga_0,542.913793103448,56.463723019572,600,180,836,656,58,58,0
cold_iga_1,466,252.646920952278,198,46.75,682.25,635.5,6,6,0
D_age_iga,50.53125,1.76059276380437,52.5,42.75,59.25,16.5,64,64,0
D_age_iga_0,51.0689655172414,1.89018896377939,54,42.75,60.75,18,58,58,0
D_age_iga_1,45.3333333333333,4.11231213687764,46,43.25,50.25,7,6,6,0
cur_pra_le30_iga,1.67857142857143,0.384021055004093,0,0,2.5,2.5,56,56,0
cur_pra_le30_iga_0,1.80769230769231,0.408283813482461,0,0,4,4,52,52,0
cur_pra_le30_iga_1,0,0,0,0,0,0,4,4,0
cur_pra_geq30_iga,54.75,13.5362168520849,53.5,32.25,76,43.75,4,4,0
cur_pra_geq30_iga_0,63,15.1767365837763,74,53.5,78,24.5,3,3,0
cur_pra_geq30_iga_1,30,,30,30,30,0,1,1,0
high_pra_le30_iga,5.90740740740741,0.761709669236651,4,2,10,8,54,54,0
high_pra_le30_iga_0,5.9,0.786752560743678,4,2,10,8,50,50,0
high_pra_le30_iga_1,6,3.46410161513775,4,3,7,4,4,4,0
high_pra_geq30_iga,56,10.5798550714711,46,38.75,67.5,28.75,6,6,0
high_pra_geq30_iga_0,57.6,12.8085908670704,44,37,74,37,5,5,0
high_pra_geq30_iga_1,48,,48,48,48,0,1,1,0
