term,estimate,std.error,statistic,p.value,conf.low,conf.high
R_age_surgery,1.13569545799782,0.0461309766559084,2.75834614469757,0.00580946453596787,1.03751678239336,1.24316463618211
D_age,0.979988829371504,0.029836116192246,-0.677504600556669,0.498085852127432,0.924324739731779,1.03900508599566
GeschlechtW,0.432673100280156,0.848129830481489,-0.987788391247093,0.32325629409321,0.0820787010763779,2.28081109046594
D_sexW,1.9659818080978,0.817618549898844,0.826781349945323,0.408361002658868,0.395932656129774,9.76197444169558
D_typeLiving,,0,,,,
cold_time_minutes,0.99784189755958,0.00140427675235202,-1.53846775266511,0.123934287345113,0.995099281540819,1.00059207256543
mismatch_sum,2.45688993717633,0.411798351827134,2.18285549938044,0.0290464530488392,1.0961306180169,5.50692414223326
`current_PRA%`,1.1140152955893,0.0465913301090674,2.31740264743651,0.020481808269053,1.01679298597881,1.22053367393388
`Highest_PRA%`,0.945073483472748,0.0326685456701012,-1.72926566102541,0.0837615594441524,0.886457791463558,1.00756505020807
"`biopsy_proven_recurrence(0=no,1=yes)`1",1.16535246384104,1.31405843910948,0.116451126354547,0.907295018003141,0.0887010431856445,15.3103764759349
