term,estimate,std.error,statistic,p.value
"R_age_Tdate_class(39,59]",-0.448197536629717,0.932555873127066,-0.480611992852302,0.630792290237476
"R_age_Tdate_class(59,Inf]",-0.138655818785726,1.07472573786444,-0.129015072311608,0.897345722522788
`D-age`,0.040048559431313,0.0422303655544986,0.948335608879115,0.342958628458254
`R-sex`M,0.106071284533018,0.823804352447218,0.128757858850733,0.897549251647038
`D-sex`M,-2.42953781390658,0.956181657383107,-2.54087473352687,0.0110575528493314
`D-type`Living,,0,,
"cold_time_sum_class(720,Inf]",0.263046157170249,0.840030600152191,0.313138779852297,0.754175227502312
mismatch_sum,0.215783013009236,0.382690936487713,0.563857129697567,0.572851367866478
`Current PRA%`,0.0252057295092945,0.0492667966540639,0.511616975755118,0.60891910230742
`Highest PRA%`,-0.0105937525027951,0.0392818604658733,-0.269685610028542,0.787402132031965
