vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
Patient_ID,64,1521267.234375,584252.012872727,1345830,1421561.11538462,409664.619,1007204,3639678,2632474,2.01190144138148,4.52781267253152,73031.5016090909
"graft_loss(0=functial,1=loss)",64,1.234375,0.426956281914983,1,1.17307692307692,0,1,2,1,1.22483083374361,-0.506982421875,0.0533695352393729
Transplantatfunktionsende,15,,,,,,Inf,-Inf,-Inf,,,
max_FUP_graft(years),64,7.15833333333333,3.96336730865061,8.20833333333334,7.38717948717949,3.27407499999997,0,12.4166666666667,12.4166666666667,-0.530596138089751,-0.988468482959532,0.495420913581327
"Pat_death(0=alive,1=dead)",64,1.375,0.487950036474267,1,1.34615384615385,0,1,2,1,0.504342108012074,-1.772607421875,0.0609937545592833
Todesdatum,24,,,,,,Inf,-Inf,-Inf,,,
max_FUP_survivial(years),64,7.97213541666667,3.67816265991593,8.79166666666667,8.31987179487179,2.71810000000001,0,13.5,13.5,-0.791187854256744,-0.394074098593271,0.459770332489491
"biopsy_after_KTX(0=no,1=yes)",64,1.671875,0.473242362150023,2,1.71153846153846,0,1,2,1,-0.715022435254286,-1.5116335846657,0.0591552952687529
"biopsy_proven_recurrence(0=no,1=yes)",64,1.109375,0.314576434802948,1,1.01923076923077,0,1,2,1,2.44469351059857,4.04038599917763,0.0393220543503685
date_of_biopsy,43,,,,,,Inf,-Inf,-Inf,,,
time_of_biopsy_(years_after_KTX),43,2.16279069767442,3.29997963199042,0.583333333333333,1.52380952380952,0.86485,0,11.9166666666667,11.9166666666667,1.54162586053071,1.11461691318069,0.503242176005254
Geburtsdatum,64,,,,,,Inf,-Inf,-Inf,,,
Datum_TX,64,,,,,,Inf,-Inf,-Inf,,,
D_type,64,1.234375,0.426956281914983,1,1.17307692307692,0,1,2,1,1.22483083374361,-0.506982421875,0.0533695352393729
D_rel,15,5.13333333333333,1.92230020944651,6,5.30769230769231,1.4826,1,7,6,-0.795200441267017,-0.736247564388705,0.496335779839824
D_age,64,50.53125,14.084742110435,52.5,51.1923076923077,12.6021,16,81,65,-0.452780509714873,-0.0967914231528724,1.76059276380437
D_sex,64,1.484375,0.503706499953334,1,1.48076923076923,0,1,2,1,0.0610707202564389,-2.02721702598057,0.0629633124941668
Geschlecht,64,1.25,0.436435780471985,1,1.19230769230769,0,1,2,1,1.12774323743054,-0.739013671874999,0.0545544725589981
Date_last_seen,64,,,,,,Inf,-Inf,-Inf,,,
Cold_ischaemic_period_hours,49,11.6122448979592,6.33053554386269,12,11.2439024390244,7.413,1,26,25,0.363561543702084,-0.519796374491184,0.904362220551812
Cold_ischaemic_period_minutes,7,20.7142857142857,17.3658120619633,15,20.7142857142857,20.7564,0,44,44,0.225894057440498,-1.88874550673215,6.56366000437722
mm_A,48,0.791666666666667,0.54415006274018,1,0.775,0,0,2,2,-0.112240665431212,-0.252615325113247,0.0785412963006487
mm_B,48,1.14583333333333,0.583079985511033,1,1.175,0,0,2,2,-0.0146874958401261,-0.292680767959427,0.0841603466484695
mm_DR,48,0.916666666666667,0.646869164755947,1,0.9,0,0,2,2,0.0726918681894578,-0.680614780834051,0.0933675216005786
current_PRA%,63,4.96825396825397,14.6165706383126,0,1.33333333333333,0,0,82,82,4.16873574694272,17.5046401203113,1.84151480617066
Highest_PRA%,63,10.3968253968254,17.4638240671872,4,6.25490196078431,5.9304,0,100,100,3.20545645460862,11.5248245382426,2.20023502009342
Krea_1Y,41,1.80585365853659,0.942528449463877,1.46,1.63939393939394,0.459606,0.94,5.28,4.34,2.27288851380081,5.58396519532647,0.147198213639809
Krea_5Y,35,1.85742857142857,1.90468361253662,1.35,1.4751724137931,0.355824,0.86,11.96,11.1,4.35949314123623,19.8306751781495,0.321950291809401
Krea_10Y,25,1.6448,1.60636784911385,1.29,1.33666666666667,0.340998,0.85,9.16,8.31,4.06925878967957,16.1754791289338,0.321273569822771
R_age_Tdls,64,57.4935733868553,11.5780181771783,59.072602739726,57.9029631421053,13.4002668493151,30.7616438356164,80.1369863013699,49.3753424657534,-0.234804011288805,-0.693147319783934,1.44725227214728
R_age_surgery,64,49.867548679729,12.3613391881355,49.7383561643836,50.0332535830066,15.7358695890411,19.6383561643836,74.1917808219178,54.5534246575342,-0.0960621563776816,-0.768665646975645,1.54516739851694
cold_time_minutes,49,699.69387755102,378.17237053589,720,678,383.9934,60,1560,1500,0.362166146093536,-0.513543325255455,54.0246243622701
mismatch_sum,47,2.91489361702128,0.974228507121818,3,2.8974358974359,1.4826,1,5,4,0.165123159392025,-0.814238615318753,0.142105832908331
years_within_follow_up,64,7.62602470712628,3.40202776952175,8.51780821917808,7.93468477027875,2.45992406018415,-0.147945205479452,12.4438356164384,12.5917808219178,-0.849847978973861,-0.201996908135661,0.425253471190219
