vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
Patient_ID,57,1543966.22807018,608680.369203476,1365862,1439875.93617021,441002.3352,1007204,3639678,2632474,1.90616019096545,3.86544950626907,80621.6844120301
"graft_loss(0=functial,1=loss)",57,1.2280701754386,0.423317841565258,1,1.17021276595745,0,1,2,1,1.26221528909361,-0.413142720621945,0.0560698178476118
Transplantatfunktionsende,13,,,,,,Inf,-Inf,-Inf,,,
max_FUP_graft(years),57,7.02719298245614,4.1044686637488,8.16666666666667,7.20851063829787,4.2007,0,12.4166666666667,12.4166666666667,-0.469208252310387,-1.14586393195806,0.543650155369481
"Pat_death(0=alive,1=dead)",57,1.3859649122807,0.491149743128752,1,1.36170212765957,0,1,2,1,0.456213094733947,-1.82293293041216,0.0650543726938216
Todesdatum,22,,,,,,Inf,-Inf,-Inf,,,
max_FUP_survivial(years),57,7.86783625730994,3.79573285326358,8.66666666666667,8.17304964539007,2.71810000000001,0,13.5,13.5,-0.738380352759452,-0.556140482182764,0.502757098292243
"biopsy_after_KTX(0=no,1=yes)",57,1.63157894736842,0.486664263392288,2,1.65957446808511,0,1,2,1,-0.531251437621211,-1.74751205499128,0.064460256389031
"biopsy_proven_recurrence(0=no,1=yes)",57,1,0,1,1,0,1,1,0,,,0
date_of_biopsy,36,,,,,,Inf,-Inf,-Inf,,,
time_of_biopsy_(years_after_KTX),36,1.7662037037037,3.28620369121824,0.416666666666667,1.07222222222222,0.617750000000001,0,11.9166666666667,11.9166666666667,1.96706848101394,2.47050259579201,0.54770061520304
Geburtsdatum,57,,,,,,Inf,-Inf,-Inf,,,
Datum_TX,57,,,,,,Inf,-Inf,-Inf,,,
D_type,57,1.2280701754386,0.423317841565258,1,1.17021276595745,0,1,2,1,1.26221528909361,-0.413142720621945,0.0560698178476118
D_rel,13,5.30769230769231,1.84321347039237,6,5.54545454545455,1.4826,1,7,6,-0.933707729182326,-0.252460792760379,0.511215436855818
D_age,57,50.9649122807018,14.5011882669277,54,51.6382978723404,10.3782,16,81,65,-0.487994380178399,-0.151976681223267,1.92072930754377
D_sex,57,1.50877192982456,0.504366895139125,2,1.51063829787234,0,1,2,1,-0.0341736795254581,-2.03359123762219,0.0668050272444203
Geschlecht,57,1.28070175438597,0.453336281871585,1,1.23404255319149,0,1,2,1,0.950512529384153,-1.11517239826138,0.0600458573970473
Date_last_seen,57,,,,,,Inf,-Inf,-Inf,,,
Cold_ischaemic_period_hours,45,11.6222222222222,5.95928949734205,12,11.3783783783784,5.9304,1,26,25,0.28963633138707,-0.512277844074131,0.888358427577159
Cold_ischaemic_period_minutes,5,21.8,19.664689166117,15,21.8,22.239,0,44,44,0.138003383402337,-2.15255499027698,8.79431634636826
mm_A,43,0.767441860465116,0.570597402157456,1,0.742857142857143,0,0,2,2,0.0101553880308041,-0.474332512886171,0.0870152880645103
mm_B,43,1.2093023255814,0.558831243582521,1,1.22857142857143,0,0,2,2,0.0492956614060659,-0.338773898313135,0.085220965703526
mm_DR,43,0.906976744186047,0.647851889612789,1,0.885714285714286,0,0,2,2,0.0815954655323911,-0.698088478190261,0.0987964869532268
current_PRA%,56,4.98214285714286,15.0725410434503,0,1.39130434782609,0,0,82,82,4.19564013882362,17.2481313777289,2.01415301902426
Highest_PRA%,56,10.3392857142857,17.6452690396185,4,6.32608695652174,5.9304,0,100,100,3.34210523300478,12.3484373012357,2.35794825870365
Krea_1Y,38,1.83236842105263,0.973179337408888,1.465,1.6709375,0.489258,0.94,5.28,4.34,2.15492715145162,4.9060374593979,0.157870535129564
Krea_5Y,31,1.87548387096774,2.01784346718583,1.35,1.4388,0.355824,0.86,11.96,11.1,4.11409256674466,17.314222413297,0.362415385366665
Krea_10Y,23,1.63478260869565,1.67238770397628,1.28,1.29736842105263,0.326172,0.85,9.16,8.31,3.9356610336376,14.8350535153365,0.348716942170872
R_age_Tdls,57,57.888674564621,11.8173668692918,59.1835616438356,58.3160151814141,13.8470778082192,30.7616438356164,80.1369863013699,49.3753424657534,-0.259664509499255,-0.733726884632915,1.56524847936854
R_age_surgery,57,50.3776431684796,12.5857324341512,49.8739726027397,50.5912520525648,16.8114121536043,19.6383561643836,74.1917808219178,54.5534246575342,-0.11978243076596,-0.822828939755731,1.66702098463962
cold_time_minutes,45,699.755555555556,356.792539386148,720,685.405405405405,355.824,60,1560,1500,0.279936939148762,-0.509014428023592,53.1874914621466
mismatch_sum,42,2.95238095238095,0.986553027325901,3,2.94117647058824,1.4826,1,5,4,0.0918761676520627,-0.784083197703983,0.15222843703163
years_within_follow_up,57,7.51103139614138,3.52476043777756,8.54794520547945,7.77955080087852,2.47051168201213,-0.147945205479452,12.4438356164384,12.5917808219178,-0.781456146222938,-0.416906861819606,0.466865925073912
