vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
Geburtsdatum,960,,,,,,Inf,-Inf,-Inf,,,
Datum,960,,,,,,Inf,-Inf,-Inf,,,
Geschlecht,960,1.346875,0.476223658471968,1,1.30859375,0,1,2,1,0.642410313181325,-1.58896090304756,0.0153700524860992
Transplantatfunktionsende 1[NTX PatientenInformation],141,,,,,,Inf,-Inf,-Inf,,,
Transplantatfunktionsende 2[NTX PatientenInformation],32,,,,,,Inf,-Inf,-Inf,,,
Transplantatfunktionsende 3[NTX PatientenInformation],0,,,,,,Inf,-Inf,-Inf,,,
Transplantatfunktionsende 5[NTX PatientenInformation],0,,,,,,Inf,-Inf,-Inf,,,
Transplantatfunktionsende 6[NTX PatientenInformation],0,,,,,,Inf,-Inf,-Inf,,,
TX Status[NTX PatientenInformation],960,1.18854166666667,0.391347979710509,1,1.11067708333333,0,1,2,1,1.59006262303743,0.528853288100485,0.012630701733256
Patienten Status[NTX PatientenInformation],960,1.35208333333333,0.477868740549431,1,1.31510416666667,0,1,2,1,0.618423321164155,-1.6192360459768,0.0154231472818422
Date last seen[NTX PatientenInformation],622,,,,,,Inf,-Inf,-Inf,,,
Todesdatum[NTX PatientenInformation],340,,,,,,Inf,-Inf,-Inf,,,
R_age_Datum,960,52.3059577734736,13.8807027887213,54.0520547945206,53.1682998314183,15.0329802380418,18.1775956284153,81.5452054794521,63.3676098510368,-0.472033947321222,-0.517116558614574,0.44799775611977
tdls,960,,,,,,Inf,-Inf,-Inf,,,
Transplantatfunktionsende,173,,,,,,Inf,-Inf,-Inf,,,
R_age_Tdls,622,57.7277720572785,13.5668387083807,59.0109589041096,58.3028591196886,14.3548175342466,26.772602739726,89.4082191780822,62.6356164383562,-0.319016849708182,-0.725106287987445,0.5439806723846
follow_up_age,622,9.50888657501512,1.78381050872748,9.41792050303167,9.52827629103133,1.9070704109589,1.89589041095891,13.4931506849315,11.5972602739726,-0.313227932789201,0.642556563510845,0.0715242851191902
