vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
T-date,58,,,,,,Inf,-Inf,-Inf,,,
T-dls,58,,,,,,Inf,-Inf,-Inf,,,
"graft loss (0=functial, 1=loss)",58,1.22413793103448,0.420655438791795,1,1.16666666666667,0,1,2,1,1.28896860183629,-0.343597365773346,0.055234765130792
graft loss date,13,,,,,,Inf,-Inf,-Inf,,,
max FUP graft (years),58,6.97672413793104,4.08538490013048,8.2,7.14270833333333,4.59606,0,12.4,12.4,-0.43529788006522,-1.16868397513435,0.536437318095108
"Pat death (0=alive, 1= dead)",58,1.39655172413793,0.493453820246914,1,1.375,0,1,2,1,0.412053492049404,-1.861418674899,0.064793660917625
max FUP survivial (years),58,7.80603448275862,3.7915890015513,8.6,8.090625,2.89107,0,13.5,13.5,-0.692152152525692,-0.631993804463494,0.497860026663859
"biopsy after KTX  (0=no, 1=yes)",58,1.63793103448276,0.484796063546818,2,1.66666666666667,0,1,2,1,-0.559216228807034,-1.71597633815232,0.063656841768768
"biopsy proven recurrence (0=no, 1=yes)",58,1,0,1,1,0,1,1,0,,,0
date of biopsy,37,,,,,,Inf,-Inf,-Inf,,,
time of biopsy (years after KTX),37,1.82702702702703,3.25880419859874,0.4,1.16774193548387,0.59304,0,11.9,11.9,1.92020166270847,2.37055692913105,0.53574411007608
Date of birth,58,,,,,,Inf,-Inf,-Inf,,,
D-type,58,1.22413793103448,0.420655438791795,1,1.16666666666667,0,1,2,1,1.28896860183629,-0.343597365773346,0.055234765130792
D-cod,45,6.86666666666667,3.51360990228775,8,6.75675675675676,4.4478,1,14,13,0.0867772894953155,-1.29402197779952,0.523778039195454
D-age,58,51.0689655172414,14.3952502753519,54,51.75,10.3782,16,81,65,-0.510287770078553,-0.10279635190108,1.89018896377939
D-abo,58,2.3448275862069,1.38350843285722,2,2.3125,1.4826,1,4,3,0.161180056596044,-1.85554297445351,0.181663557149827
D-sex,58,1.5,0.504366895139125,1.5,1.5,0.7413,1,2,1,0,-2.03418549346017,0.0662266178532522
R-sex,58,1.72413793103448,0.450851181276929,2,1.77083333333333,0,1,2,1,-0.977144978632678,-1.06262209104807,0.0591996603640657
R-abo,58,2.18965517241379,1.38230542936809,1,2.125,0,1,4,3,0.369703590724698,-1.77004930590084,0.181505595052951
R Full Phenotype,58,31.7758620689655,19.3282296077555,29.5,31.5625,25.2042,1,65,64,0.0988737441901234,-1.32722821266131,2.53792088328804
D-weight,58,79.6206896551724,16.9962096767391,77.5,78.3541666666667,18.5325,48,130,82,0.75976025418707,0.371643959743559,2.23171166478851
D-height,58,171.775862068966,8.41686507346125,170,171.4375,9.6369,160,190,30,0.244010028246936,-1.06428671958019,1.10518852865778
D-pheno,44,23.4545454545455,14.1412386310797,23.5,23.3888888888889,19.2738,1,47,46,0.058894580018674,-1.38770773181051,2.13187193682593
T-fc,9,3.88888888888889,1.53659074288215,5,3.88888888888889,0,1,5,4,-0.756184602417974,-1.19376137383058,0.512196914294049
R-dc,19,4.94736842105263,3.27403394081583,4,4.82352941176471,2.9652,1,11,10,0.395116330056845,-1.47502966207755,0.751114899249391
R-weight,27,81.6296296296296,13.5594081676727,79,81.2608695652174,13.3434,53,109,56,0.36295429204151,-0.427875332761579,2.60950931855262
R-height,27,176.333333333333,8.01920771072132,177,176.695652173913,8.8956,160,190,30,-0.403912375873092,-0.716502160303048,1.54329724349083
Cold ischaemic period hours,45,11.6222222222222,5.95928949734205,12,11.3783783783784,5.9304,1,26,25,0.28963633138707,-0.512277844074131,0.888358427577159
Cold ischaemic period minutes,5,21.8,19.664689166117,15,21.8,22.239,0,44,44,0.138003383402337,-2.15255499027698,8.79431634636826
Warm ischaemic period 2,36,46.7777777777778,14.432327029695,45,46.3333333333333,14.826,20,90,70,0.446406321911273,0.806650122066852,2.40538783828249
mm-A,44,1.77272727272727,0.565012301312325,2,1.75,0,1,3,2,-0.0156199450750737,-0.431959337545367,0.0851788093358278
mm-B,44,2.18181818181818,0.581606726902305,2,2.22222222222222,0,1,3,2,-0.0229131570605609,-0.375967200413224,0.0876805131218931
mm-DR,44,1.90909090909091,0.640427975297254,2,1.88888888888889,0,1,3,2,0.072937561766968,-0.645283463432672,0.0965481499685449
Current PRA%,55,5.14545454545455,15.1809068457695,0,1.51111111111111,0,0,82,82,4.15068606106661,16.8541812709164,2.04699306149702
Highest PRA%,55,10.6,17.71544628388,4,6.55555555555556,5.9304,0,100,100,3.32563596563697,12.1803752613543,2.38875028961337
R_age_Tdate,58,50.420642160393,12.4791401511698,49.8931506849315,50.6387589827083,16.51938689872,19.6383561643836,74.1917808219178,54.5534246575342,-0.130780755182891,-0.784560488801276,1.63859137840665
R_age_Tdls,58,57.9471726409421,11.7662424380184,59.1438356164384,58.3258163971854,13.9161304109589,30.7616438356164,80.1369863013699,49.3753424657534,-0.239437639633392,-0.71372510629047,1.54498332269889
follow_up_truncated,58,,,,,,Inf,-Inf,-Inf,,,
mismatch_sum,44,2.86363636363636,1.06946865944293,3,2.88888888888889,1.4826,0,5,5,-0.18149942068858,-0.234751279218306,0.161228466746208
cold_time_sum_min,58,542.913793103448,430.014903229406,600,517.270833333333,533.736,0,1560,1560,0.282088475786363,-0.902910349166287,56.463723019572
